time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.0,0.20990280184,-0.48535830839,-1.40049588916,1.52346195544,-2.74687922707,0.0441509783078,1.57169706551,100.0,-0.823094081054,0.201921809319,1.32749037263,2.28214129311,-2.89889772756,-0.185662179896,1.15166269052,100.0
0.023,0.20981092106,-0.485392410516,-1.40054092129,1.52344981996,-2.74688785954,0.0442254821211,1.57168162903,100.0,-0.82224653889,0.20282390609,1.32910958227,2.2796266859,-2.89928140549,-0.188644129835,1.15263712931,100.0
0.041,0.209763571953,-0.485397671022,-1.40063121187,1.52340920311,-2.74687232695,0.0443692953437,1.571692503,100.0,-0.810771243947,0.205633374779,1.34557636381,2.25257562985,-2.895842495,-0.200161642399,1.15334362402,100.0
0.065,0.209758216418,-0.485422407346,-1.40065150317,1.52338663308,-2.74688282023,0.0444064694093,1.57168345393,100.0,-0.796334223734,0.203570763392,1.34939843892,2.22155437116,-2.90224847486,-0.181639962089,1.1479409044,100.0
0.08,0.209796302507,-0.485417890146,-1.4006071738,1.52341879839,-2.74687320442,0.044324992511,1.57169301309,100.0,-0.783987951168,0.203593636852,1.3343039214,2.18548855489,-2.90095612893,-0.18895660458,1.15041397536,100.0
0.1,0.209851063144,-0.48539297359,-1.40053501578,1.5234392625,-2.7468792168,0.0442644904265,1.57169159137,100.0,-0.772743171133,0.206090229706,1.33093870944,2.15388111547,-2.89290648991,-0.178801904685,1.15752558943,100.0
0.12,0.20992448605,-0.485370691978,-1.40051719371,1.52342206816,-2.74689577686,0.0442867397966,1.57167980864,100.0,-0.762811534067,0.205570343686,1.34053822465,2.11955487313,-2.9011572843,-0.188696421299,1.14955425641,100.0
0.14,0.210024597953,-0.485378563958,-1.40056541586,1.52340499738,-2.74688730637,0.0443384915336,1.57168512669,100.0,-0.754347832803,0.203529656284,1.3478033943,2.08819122452,-2.90157060359,-0.188462393469,1.14863350082,100.0
0.166,0.210126367218,-0.485403042278,-1.4006107773,1.52339291721,-2.74687720929,0.0443649180194,1.57169161291,100.0,-0.747405933503,0.203400588741,1.34147292348,2.05653302698,-2.89601550953,-0.185763260647,1.15408920129,100.0
0.18,0.210207535276,-0.485412276496,-1.40060040191,1.52338934225,-2.7468826161,0.0443724318614,1.57168773165,100.0,-0.741597691914,0.20519223027,1.33245042786,2.02562908897,-2.90024389181,-0.183766279768,1.15097958359,100.0
0.201,0.210271204671,-0.48539963527,-1.40055770131,1.52339877364,-2.74688541094,0.0443389477272,1.57168803943,100.0,-0.736268742424,0.205887690968,1.33482909187,1.99521377789,-2.8987498685,-0.183460641495,1.15211624526,100.0
0.22,0.21032198269,-0.485383379113,-1.40053056166,1.52341331933,-2.74688752502,0.0443024888545,1.57168703362,100.0,-0.731580822422,0.204876583476,1.34349328178,1.96423735574,-2.8970849088,-0.188884685686,1.1529548188,100.0
0.241,0.210354408515,-0.485379068425,-1.40053993206,1.52340872291,-2.74689002448,0.044312381865,1.57168466361,100.0,-0.727498175006,0.203441057552,1.34537238528,1.93325418313,-2.90114191984,-0.188583424103,1.14921132997,100.0
0.262,0.210369060538,-0.485388509366,-1.40057153542,1.5233937358,-2.74688578486,0.0443537040566,1.57168697248,100.0,-0.724131160032,0.203680738212,1.33898482138,1.90163552379,-2.89885765165,-0.184756634543,1.15171772064,100.0
0.28,0.210368548764,-0.485401249121,-1.40059304357,1.52339077757,-2.74688257002,0.0443665344533,1.57168845342,100.0,-0.721484086598,0.205451252017,1.33404490052,1.86981976897,-2.89732420058,-0.184238763925,1.15346188624,100.0
0.3,0.210349999927,-0.485403729494,-1.40058303727,1.5234001906,-2.74688271052,0.0443450457716,1.57168822398,100.0,-0.719133599877,0.205850228836,1.33666992125,1.8388771011,-2.89998070969,-0.184573894378,1.15084720907,100.0
0.32,0.210316243871,-0.485394625144,-1.40055662301,1.52340929448,-2.74688412403,0.0443218438703,1.57168826448,100.0,-0.717070964768,0.204527097488,1.34243102161,1.80839509496,-2.89859899045,-0.186861514248,1.1515757776,100.0
