time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.0,0.65506915345,-0.0408621460934,-1.46617019605,1.91085341912,-2.74558601944,0.0442673397202,1.57073528601,100.0,-0.823953385068,0.201897190827,1.32734916346,2.28209679678,-2.89893311616,-0.185448204717,1.15167513593,100.0
0.02,0.657126687056,-0.0394131540103,-1.46437996063,1.91666678809,-2.7438218648,0.0532975118694,1.57115761942,100.0,-0.823955399184,0.20190772236,1.32737672092,2.28209560455,-2.89891418694,-0.185500146784,1.15167205302,100.0
0.04,0.657126687056,-0.0394131540103,-1.46437996063,1.91666678809,-2.7438218648,0.0532975118694,1.57115761942,100.0,-0.823955399184,0.20190772236,1.32737672092,2.28209560455,-2.89891418694,-0.185500146784,1.15167205302,100.0
0.061,0.674725267752,-0.0338989705441,-1.4173808079,1.92030889046,-2.74658313455,0.0387209513934,1.56948287753,100.0,-0.823956352737,0.201899447582,1.32745779592,2.28214630038,-2.8989451579,-0.18563318762,1.15163896326,100.0
0.081,0.685359022407,-0.0329766947264,-1.3857450037,1.9140860195,-2.74656936727,0.0469411103531,1.57009802532,100.0,-0.823947805526,0.201905237815,1.32738222641,2.28212017596,-2.89890676106,-0.185530734014,1.15167952873,100.0
0.1,0.699667753677,-0.0336405428084,-1.35452220401,1.91558821818,-2.74569980653,0.0483164646884,1.57070780982,100.0,-0.823946351817,0.201910947523,1.3273806895,2.28208567679,-2.89888718198,-0.185493549099,1.15169756941,100.0
0.12,0.714418866925,-0.0335979652903,-1.32399900939,1.91844330117,-2.74586126504,0.0387020099862,1.57024859642,100.0,-0.823954610997,0.201904548439,1.32744645629,2.28211218276,-2.8989412484,-0.185536898301,1.15164320428,100.0
0.141,0.725371004424,-0.0334991503636,-1.29190121122,1.91776590946,-2.74616986737,0.0436725681501,1.57008188653,100.0,-0.823959067041,0.201898894648,1.32745891298,2.2821423249,-2.8989219856,-0.185622439717,1.151659677,100.0
0.16,0.732873640223,-0.0327859627843,-1.26165253273,1.91447033293,-2.74552732363,0.0488621028661,1.56759683916,100.0,-0.82395308094,0.201905884629,1.32740156673,2.28213803635,-2.89889804818,-0.185578850106,1.15168519932,100.0
0.18,0.734112079744,-0.0301516998261,-1.26127597228,1.92098450451,-2.7526155713,0.0434027225388,1.56332467386,100.0,-0.823946162402,0.201910359317,1.32738118699,2.28209939099,-2.89891932958,-0.185510693768,1.15166865261,100.0
0.201,0.726753791958,-0.035634871241,-1.26399735801,1.91334838371,-2.74239442876,0.0264818269789,1.57430651254,100.0,-0.823945284799,0.201883056809,1.32736896116,2.28209856025,-2.89895126808,-0.18539408582,1.15166935265,100.0
0.221,0.712136386394,-0.0400704776539,-1.27877304947,1.90444635423,-2.74619779949,0.0568395624296,1.57185645426,100.0,-0.82394529985,0.201882299118,1.32720328777,2.28204835368,-2.89898288531,-0.185295753283,1.15166063067,100.0
